,seed,actions
37,37,"[2, 2, 2, 2, 2, 1, 3, 3, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 2, 1, 3, 3, 0, 2, 2, 0, 3, 0, 2, 0, 3, 3, 3, 3, 3, 1, 2, 2, 1, 2]"
38,38,"[1, 2, 1, 3, 3, 3, 2, 2, 2, 0, 3, 0, 3, 3, 1, 3, 3, 1, 1, 2, 0, 2, 2, 2, 2, 0, 3, 3, 2, 2, 0, 3, 3, 3, 1, 2, 2, 2, 1, 3, 3, 3, 3]"
39,39,[]
40,40,"[3, 0, 0, 0, 3, 0, 2, 3, 1, 2, 2, 1]"
41,41,"[1, 1, 1, 3, 0, 3, 3, 1, 2, 3, 0, 2, 2, 1, 1]"
42,42,[]
43,43,"[1, 2, 2, 2, 3, 3, 3, 0, 2, 2, 2, 2, 1, 1, 1, 1, 3, 0, 0]"
44,44,"[3, 3, 0, 3, 3, 1, 2, 1, 2, 2]"
45,45,"[1, 3, 3, 3, 0, 3, 1, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 2, 2, 2, 1, 3, 2, 0, 3, 3, 1, 2, 2, 0, 3, 3, 3, 3, 1, 1, 2, 1, 2, 2, 0, 3, 3]"
46,46,"[0, 3, 0, 0, 0, 2, 2, 1, 1, 3, 2, 1, 3, 3, 0, 2, 0, 0]"
47,47,"[0, 0, 2, 0, 3, 0, 2, 2, 2, 2, 2, 1, 3, 1, 3, 0, 2, 2, 0, 3, 0, 3, 3, 3, 3, 1, 2, 1, 3, 1, 1, 1, 2, 0, 0, 0, 3, 0, 0, 2, 2, 1, 3, 2, 0, 3, 3, 1]"
48,48,[]
49,49,"[1, 1, 2, 2, 1, 3, 3, 1, 2, 2, 2, 2, 0, 3, 3, 2, 2, 1, 3, 3, 3, 3, 0, 0, 2, 1, 3, 1, 2, 3, 0, 2, 2, 0, 3, 3, 0, 0, 2, 1, 1, 1]"
50,50,"[3, 0, 2, 2, 1, 3, 3, 3, 3, 0, 2, 2, 2, 3, 3, 3, 1, 2, 2, 2, 2, 0]"
51,51,"[3, 1, 2, 2, 1, 3, 1, 3, 3, 0, 2, 2, 3, 0, 2, 0, 0, 2, 0, 3, 3, 1, 1, 1, 2, 1, 1, 3, 3, 0, 2, 0, 2, 1, 3, 3, 1, 2, 2]"
52,52,"[1, 2, 2, 2, 3, 3, 3, 0, 0, 2, 1, 3, 1, 2, 2]"
53,53,"[1, 3, 3, 3, 3, 2, 2, 2, 2, 0, 3, 3, 3, 3, 3, 1, 1, 2, 1, 1, 2, 1, 3]"
54,54,"[3, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 3, 3, 3, 3, 3, 0, 2, 0, 0, 3, 1, 1]"
55,55,"[3, 1, 1, 3, 0, 2, 2, 2, 2]"
56,56,"[1, 3, 3, 2, 2, 0, 2, 2, 1, 3, 3, 3]"
57,57,"[0, 3, 0, 0, 3, 3, 1, 2, 3, 0, 2, 2, 1]"
58,58,"[3, 0, 2, 1, 3, 3, 0]"
59,59,"[3, 1, 3, 1, 3, 3, 3, 1, 2, 2, 2, 2, 2, 0, 3, 3, 2, 2, 0, 3, 0, 2, 0, 0, 3, 1, 1, 1, 3, 1, 1, 2, 2, 0, 3, 2, 0, 3, 3, 1, 2, 2, 1, 3, 3]"
60,60,[]
61,61,"[0, 3, 2, 1, 3, 3, 0, 0, 0, 0, 3, 0, 2, 3, 1, 2, 1, 2, 1, 3, 3, 1, 2, 1, 2, 2, 0, 3]"
62,62,"[2, 2, 1, 3, 3, 3, 2, 2, 2, 1, 1, 1, 3, 1, 3, 0, 0]"
63,63,"[0, 2, 2, 3, 3, 1, 2]"
64,64,[]
65,65,"[3, 0, 0, 3, 3, 0, 2, 0, 2, 2, 1, 3, 2, 1, 3, 3, 0, 3, 1, 1, 2, 2]"
66,66,"[2, 1, 3, 1, 2, 1, 3, 1, 3, 3, 0, 2, 2, 3, 3, 1, 2, 2, 2, 0, 3, 3, 0, 2, 0, 2, 0, 3, 3, 1, 1, 2, 1, 2, 1, 3, 3, 3, 0, 2, 3, 1, 2, 2, 0]"
67,67,[]
68,68,"[2, 3, 0, 2, 2, 1, 1, 0, 3, 3, 1, 2]"
69,69,"[1, 1, 3, 1, 2, 2, 2, 2, 0, 2, 0, 0, 3, 1, 1]"
70,70,"[3, 1, 1, 3, 1, 2, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 3, 3, 2, 2, 2, 0, 3, 3, 3, 3, 1]"
71,71,[]
72,72,"[1, 3, 3, 3, 3, 1, 3, 0, 2, 1, 3, 1, 1, 1, 2, 2, 0, 3, 2, 1, 3, 3, 0, 0]"
73,73,"[0, 2, 3, 1, 3, 3, 0, 2]"
74,74,[]
75,75,"[2, 2, 2, 3, 3, 0, 2]"
76,76,"[0, 0, 0, 3, 0, 2, 3, 1, 2, 1, 1, 1, 3, 0, 0, 0, 2, 0, 3]"
77,77,"[3, 3, 0, 0, 2, 1, 3, 0, 2, 0, 3, 0, 0, 2, 1, 1]"
78,78,"[3, 3, 3, 0, 2, 0, 3, 0, 0, 0, 2, 1, 1, 3, 1, 2, 2, 3, 3, 1, 2, 1, 2, 2, 0, 3, 2, 1, 3, 3, 3, 0, 0, 2, 1, 3, 1, 2]"
79,79,[]
80,80,"[3, 3, 3, 3, 3, 0, 2, 2, 2, 2, 3, 3, 3, 3, 0, 2, 2, 0, 3, 0, 3, 1, 1]"
81,81,[]
82,82,"[2, 0, 2, 2, 1, 1, 3, 3, 2, 2, 1, 1, 3, 3, 3, 3, 0, 2, 0, 0, 2, 1, 3, 1, 3, 1, 2, 2, 2, 0, 2, 1, 3, 3, 3, 3, 0, 2, 0, 2, 2, 3, 3, 1, 3, 1, 2, 2, 2, 2, 0, 0]"
83,83,"[3, 1, 3, 3]"
84,84,"[1, 2, 2, 3, 3, 0, 2, 2, 2, 2, 2, 1, 3, 1, 1, 1]"
85,85,"[2, 2, 1, 1, 2, 1, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0]"
86,86,"[3, 1, 3, 3, 3, 3, 0, 2, 0, 3, 0, 0, 2, 3, 1, 2, 1, 3, 1, 2, 2, 1, 2, 2, 0, 3, 3, 3, 2, 2, 2, 1, 3, 3, 3, 3, 0, 0]"
87,87,"[1, 3, 3, 1, 2, 1, 3, 3, 3, 0, 2, 2]"
88,88,[]
89,89,[]
90,90,"[3, 3, 3, 3, 3, 1, 1, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 1, 3, 3, 1, 3, 3, 3, 0, 0, 2, 0, 2, 2, 1, 2, 2, 1, 1, 3, 3, 3, 3]"
91,91,"[1, 2, 2, 2, 2, 0, 2, 1, 1, 3, 1, 1]"
92,92,"[2, 2, 3, 3, 0, 0, 2, 1]"
93,93,"[2, 0, 1, 3, 3, 0, 0, 2, 2, 3, 3, 1, 1, 2, 0]"
94,94,"[2, 2, 2, 0, 3, 3, 2, 2, 1, 3, 3, 3, 0, 0, 0, 3, 0, 3, 0, 2, 2, 2, 2, 2, 1, 3, 3, 3, 1, 3, 0, 3, 0, 2, 3, 1, 2, 2, 1, 3, 1, 2, 1, 2, 2, 2, 1, 3, 3, 3, 3, 3, 0, 2, 3, 1, 2, 2, 0, 0, 0]"
95,95,"[2, 0, 2, 2, 1, 1, 3, 0, 2, 0, 3, 3, 3, 2, 2, 2, 1, 3, 3, 3, 1, 2, 2]"
96,96,"[2, 2, 2, 2, 2, 0, 3, 3, 3, 2, 2, 2, 1, 3, 3, 3, 3, 0, 3, 1, 1, 2, 2]"
97,97,"[0, 2, 2, 2, 2, 3, 3, 3, 3, 1, 2, 2, 2, 1, 2, 2, 0, 3, 3, 3]"
98,98,"[3, 1, 1, 1, 1, 2, 0, 3, 0, 3, 0]"
99,99,"[3, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 1, 3, 0]"
